Year,Short Name,Region,FertilityRate,GDPperCapita
1960,Singapore,East Asia & Pacific,5.76,3390
1960,South Africa,Sub-Saharan Africa,6.04,4530
1960,Spain,Europe & Central Asia,2.86,7360
1960,St. Vincent and the Grenadines,Latin America & Caribbean,7.22,1752
1960,Sudan,Sub-Saharan Africa,6.69,888
1960,Suriname,Latin America & Caribbean,6.61,3311
1960,Sweden,Europe & Central Asia,2.17,18143
1960,Thailand,East Asia & Pacific,6.15,571
1960,The Bahamas,Latin America & Caribbean,4.5,17736
1960,Togo,Sub-Saharan Africa,6.52,356
1960,Trinidad and Tobago,Latin America & Caribbean,5.26,5039
1960,Turkey,Europe & Central Asia,6.37,3175
1960,United Kingdom,Europe & Central Asia,2.69,13827
1960,United States,North America,3.65,17551
1960,Uruguay,Latin America & Caribbean,2.88,5475
1960,Venezuela,Latin America & Caribbean,6.62,12450
1960,Zambia,Sub-Saharan Africa,7.12,1508
1960,Zimbabwe,Sub-Saharan Africa,7.16,1002
1961,Algeria,Middle East & North Africa,7.57,2078
1961,Argentina,Latin America & Caribbean,3.1,5815
1961,Australia,East Asia & Pacific,3.54,19478
1961,Austria,Europe & Central Asia,2.78,13677
1961,Bangladesh,South Asia,6.76,382
1961,Belgium,Europe & Central Asia,2.63,13804
1961,Belize,Latin America & Caribbean,6.48,1093
1961,Benin,Sub-Saharan Africa,6.34,529
1961,Bolivia,Latin America & Caribbean,6.67,997
1961,Botswana,Sub-Saharan Africa,6.63,406
1961,Brazil,Latin America & Caribbean,6.05,3658
1961,Burkina Faso,Sub-Saharan Africa,6.32,245
1961,Burundi,Sub-Saharan Africa,7,181
1961,Cameroon,Sub-Saharan Africa,5.71,948
1961,Canada,North America,3.75,17862
1961,Central African Republic,Sub-Saharan Africa,5.87,621
1961,Chad,Sub-Saharan Africa,6.27,692
1961,Chile,Latin America & Caribbean,5.05,3918
1961,China,East Asia & Pacific,5.92,141
1961,Colombia,Latin America & Caribbean,6.8,2322
1961,Congo,Sub-Saharan Africa,5.92,1510
1961,Costa Rica,Latin America & Caribbean,6.41,2856
1961,C?te d'Ivoire,Sub-Saharan Africa,7.72,1276
1961,Dem. Rep. Congo,Sub-Saharan Africa,6.02,903
1961,Denmark,Europe & Central Asia,2.55,22264
1961,Dominican Republic,Latin America & Caribbean,7.49,1253
1961,Ecuador,Latin America & Caribbean,6.7,2286
1961,Egypt,Middle East & North Africa,6.7,584
1961,Fiji,East Asia & Pacific,6.28,1775
1961,Finland,Europe & Central Asia,2.72,13030
1961,France,Europe & Central Asia,2.87,13524
1961,Gabon,Sub-Saharan Africa,4.46,4974
1961,Ghana,Sub-Saharan Africa,6.79,1055
1961,Greece,Europe & Central Asia,2.13,7476
1961,Guatemala,Latin America & Caribbean,6.86,1481
1961,Guyana,Latin America & Caribbean,6.31,1726
1961,Haiti,Latin America & Caribbean,6.32,969
1961,Honduras,Latin America & Caribbean,7.45,1086
1961,"Hong Kong SAR, China",East Asia & Pacific,5.03,3381
1961,India,South Asia,5.9,337
1961,Indonesia,East Asia & Pacific,5.66,711
1961,Iran,Middle East & North Africa,6.92,3238
1961,Israel,Middle East & North Africa,3.86,9413
1961,Italy,Europe & Central Asia,2.42,11681
1961,Japan,East Asia & Pacific,2.05,9396
1961,Kenya,Sub-Saharan Africa,8,481
1961,Korea,East Asia & Pacific,5.93,980
1961,Lesotho,Sub-Saharan Africa,5.83,255
1961,Madagascar,Sub-Saharan Africa,7.3,713
1961,Malawi,Sub-Saharan Africa,6.96,254
1961,Malaysia,East Asia & Pacific,6.42,1411
1961,Mauritania,Sub-Saharan Africa,6.79,887
1961,Mexico,Latin America & Caribbean,6.76,3934
1961,Myanmar,East Asia & Pacific,6.07,156
1961,Nepal,South Asia,5.96,268
1961,Netherlands,Europe & Central Asia,3.22,16189
1961,Nicaragua,Latin America & Caribbean,7.26,1568
1961,Niger,Sub-Saharan Africa,7.47,622
1961,Nigeria,Sub-Saharan Africa,6.35,1343
1961,Norway,Europe & Central Asia,2.94,24443
1961,Pakistan,South Asia,6.6,315
1961,Panama,Latin America & Caribbean,5.85,2304
1961,Papua New Guinea,East Asia & Pacific,6.28,1182
1961,Paraguay,Latin America & Caribbean,6.49,1422
1961,Peru,Latin America & Caribbean,6.97,2801
1961,Philippines,East Asia & Pacific,7.09,1082
1961,Portugal,Europe & Central Asia,3.21,4717
1961,Puerto Rico,Latin America & Caribbean,4.55,6134
1961,Rwanda,Sub-Saharan Africa,8.19,311
1961,Senegal,Sub-Saharan Africa,7.04,1363
1961,Sierra Leone,Sub-Saharan Africa,6.17,378
1961,Singapore,East Asia & Pacific,5.41,3545
1961,South Africa,Sub-Saharan Africa,6.03,4582
1961,Spain,Europe & Central Asia,2.77,8155
1961,Sri Lanka,South Asia,5.42,586
1961,St. Vincent and the Grenadines,Latin America & Caribbean,7.16,1805
1961,Sudan,Sub-Saharan Africa,6.71,865
1961,Suriname,Latin America & Caribbean,6.59,3374
1961,Sweden,Europe & Central Asia,2.21,19084
1961,Thailand,East Asia & Pacific,6.15,584
1961,The Bahamas,Latin America & Caribbean,4.5,18676
1961,Togo,Sub-Saharan Africa,6.57,395
1961,Trinidad and Tobago,Latin America & Caribbean,5.18,5634
1961,Turkey,Europe & Central Asia,6.3,3135
1961,United Kingdom,Europe & Central Asia,2.78,14076
1961,United States,North America,3.62,17659
1961,Uruguay,Latin America & Caribbean,2.89,5539
1961,Venezuela,Latin America & Caribbean,6.64,12369
1961,Zambia,Sub-Saharan Africa,7.17,1483
1961,Zimbabwe,Sub-Saharan Africa,7.22,1032
1962,Algeria,Middle East & North Africa,7.61,1628
1962,Argentina,Latin America & Caribbean,3.09,5675
1962,Australia,East Asia & Pacific,3.44,19255
1962,Austria,Europe & Central Asia,2.8,13954
1962,Bangladesh,South Asia,6.79,391
1962,Belgium,Europe & Central Asia,2.59,14466
1962,Belize,Latin America & Caribbean,6.46,1115
1962,Benin,Sub-Saharan Africa,6.39,504
1962,Bolivia,Latin America & Caribbean,6.63,1033
1962,Botswana,Sub-Saharan Africa,6.65,422
1962,Brazil,Latin America & Caribbean,6,3738
1962,Burkina Faso,Sub-Saharan Africa,6.34,257
1962,Burundi,Sub-Saharan Africa,7.05,194
1962,Cameroon,Sub-Saharan Africa,5.77,956
1962,Canada,North America,3.68,18781
1962,Central African Republic,Sub-Saharan Africa,5.89,587
1962,Chad,Sub-Saharan Africa,6.29,715
1962,Chile,Latin America & Caribbean,5,3987
1962,China,East Asia & Pacific,6.09,132
1962,Colombia,Latin America & Caribbean,6.78,2375
1962,Congo,Sub-Saharan Africa,5.97,1548
1962,Costa Rica,Latin America & Caribbean,6.32,2905
1962,C?te d'Ivoire,Sub-Saharan Africa,7.75,1243
1962,Dem. Rep. Congo,Sub-Saharan Africa,6.03,1067
1962,Denmark,Europe & Central Asia,2.55,23343
1962,Dominican Republic,Latin America & Caribbean,7.4,1419
1962,Ecuador,Latin America & Caribbean,6.68,2330
1962,Egypt,Middle East & North Africa,6.67,590
1962,Fiji,East Asia & Pacific,6.09,1776
1962,Finland,Europe & Central Asia,2.68,13328
1962,France,Europe & Central Asia,2.89,14224
1962,Gabon,Sub-Saharan Africa,4.54,5286
1962,Ghana,Sub-Saharan Africa,6.83,1065
1962,Greece,Europe & Central Asia,2.16,7546
1962,Guatemala,Latin America & Caribbean,6.82,1489
1962,Guyana,Latin America & Caribbean,6.23,1696
1962,Haiti,Latin America & Caribbean,6.3,1025
1962,Honduras,Latin America & Caribbean,7.44,1117
1962,"Hong Kong SAR, China",East Asia & Pacific,4.98,3703
1962,India,South Asia,5.89,339
1962,Indonesia,East Asia & Pacific,5.65,705
1962,Iran,Middle East & North Africa,6.91,3426
1962,Israel,Middle East & North Africa,3.85,9881
1962,Italy,Europe & Central Asia,2.44,12322
1962,Japan,East Asia & Pacific,2.01,10138
1962,Kenya,Sub-Saharan Africa,8.04,511
1962,Korea,East Asia & Pacific,5.74,989
1962,Lesotho,Sub-Saharan Africa,5.82,289
1962,Luxembourg,Europe & Central Asia,2.37,27903
1962,Madagascar,Sub-Saharan Africa,7.3,712
1962,Malawi,Sub-Saharan Africa,6.99,250
1962,Malaysia,East Asia & Pacific,6.35,1455
1962,Mauritania,Sub-Saharan Africa,6.79,868
1962,Mexico,Latin America & Caribbean,6.76,3990
1962,Myanmar,East Asia & Pacific,6.1,159
1962,Nepal,South Asia,5.96,269
1962,Netherlands,Europe & Central Asia,3.18,17052
1962,Nicaragua,Latin America & Caribbean,7.18,1687
1962,Niger,Sub-Saharan Africa,7.49,667
1962,Nigeria,Sub-Saharan Africa,6.35,1369
1962,Norway,Europe & Central Asia,2.91,24930
1962,Pakistan,South Asia,6.6,322
1962,Panama,Latin America & Caribbean,5.81,2421
1962,Papua New Guinea,East Asia & Pacific,6.28,1231
1962,Paraguay,Latin America & Caribbean,6.47,1430
1962,Peru,Latin America & Caribbean,6.96,2995
1962,Philippines,East Asia & Pacific,7.02,1097
1962,Portugal,Europe & Central Asia,3.23,4993
1962,Puerto Rico,Latin America & Caribbean,4.41,6507
1962,Rwanda,Sub-Saharan Africa,8.2,340
1962,Senegal,Sub-Saharan Africa,7.08,1325
1962,Sierra Leone,Sub-Saharan Africa,6.22,389
1962,Singapore,East Asia & Pacific,5.21,3694
1962,South Africa,Sub-Saharan Africa,6.01,4738
1962,Spain,Europe & Central Asia,2.8,8885
1962,Sri Lanka,South Asia,5.3,594
1962,St. Vincent and the Grenadines,Latin America & Caribbean,7.07,1848
1962,Sudan,Sub-Saharan Africa,6.74,900
1962,Suriname,Latin America & Caribbean,6.56,3413
1962,Sweden,Europe & Central Asia,2.25,19787
1962,Thailand,East Asia & Pacific,6.16,609
1962,The Bahamas,Latin America & Caribbean,4.45,19610
1962,Togo,Sub-Saharan Africa,6.62,406
1962,Trinidad and Tobago,Latin America & Caribbean,5.05,5692
1962,Turkey,Europe & Central Asia,6.24,3231
1962,United Kingdom,Europe & Central Asia,2.86,14142
1962,United States,North America,3.46,18450
1962,Uruguay,Latin America & Caribbean,2.88,5384
1962,Venezuela,Latin America & Caribbean,6.63,12922
1962,Zambia,Sub-Saharan Africa,7.21,1401
1962,Zimbabwe,Sub-Saharan Africa,7.27,1013
1963,Algeria,Middle East & North Africa,7.65,2133
1963,Argentina,Latin America & Caribbean,3.08,5291
1963,Australia,East Asia & Pacific,3.33,20063
1963,Austria,Europe & Central Asia,2.82,14438
1963,Bangladesh,South Asia,6.83,379
1963,Belgium,Europe & Central Asia,2.68,14983
1963,Belize,Latin America & Caribbean,6.44,1138
1963,Benin,Sub-Saharan Africa,6.45,519
1963,Bolivia,Latin America & Caribbean,6.6,1082
1963,Botswana,Sub-Saharan Africa,6.67,436
1963,Brazil,Latin America & Caribbean,5.94,3661
1963,Burkina Faso,Sub-Saharan Africa,6.38,250
1963,Burundi,Sub-Saharan Africa,7.09,198
1963,Cameroon,Sub-Saharan Africa,5.83,970
1963,Canada,North America,3.61,19389
1963,Central African Republic,Sub-Saharan Africa,5.91,573
1963,Chad,Sub-Saharan Africa,6.3,690
1963,Chile,Latin America & Caribbean,4.93,4127
1963,China,East Asia & Pacific,6.24,142
1963,Colombia,Latin America & Caribbean,6.74,2381
1963,Congo,Sub-Saharan Africa,6.01,1446
1963,Costa Rica,Latin America & Caribbean,6.2,2997
1963,C?te d'Ivoire,Sub-Saharan Africa,7.78,1367
1963,Dem. Rep. Congo,Sub-Saharan Africa,6.05,1094
1963,Denmark,Europe & Central Asia,2.67,23308
1963,Dominican Republic,Latin America & Caribbean,7.3,1463
1963,Ecuador,Latin America & Caribbean,6.65,2312
1963,Egypt,Middle East & North Africa,6.65,635
1963,Fiji,East Asia & Pacific,5.88,1825
1963,Finland,Europe & Central Asia,2.68,13669
1963,France,Europe & Central Asia,2.89,14775
1963,Gabon,Sub-Saharan Africa,4.62,5537
1963,Ghana,Sub-Saharan Africa,6.86,1079
1963,Greece,Europe & Central Asia,2.14,8280
1963,Guatemala,Latin America & Caribbean,6.79,1584
1963,Guyana,Latin America & Caribbean,6.14,1449
1963,Haiti,Latin America & Caribbean,6.27,986
1963,Honduras,Latin America & Caribbean,7.44,1125
1963,"Hong Kong SAR, China",East Asia & Pacific,4.86,4142
1963,India,South Asia,5.88,353
1963,Indonesia,East Asia & Pacific,5.63,671
1963,Iran,Middle East & North Africa,6.9,3581
1963,Israel,Middle East & North Africa,3.84,10542
1963,Italy,Europe & Central Asia,2.5,12919
1963,Japan,East Asia & Pacific,2.02,10886
1963,Kenya,Sub-Saharan Africa,8.08,538
1963,Korea,East Asia & Pacific,5.53,1050
1963,Lesotho,Sub-Saharan Africa,5.81,314
1963,Madagascar,Sub-Saharan Africa,7.31,688
1963,Malawi,Sub-Saharan Africa,7.02,241
1963,Malaysia,East Asia & Pacific,6.25,1513
1963,Mauritania,Sub-Saharan Africa,6.8,826
1963,Mexico,Latin America & Caribbean,6.75,4181
1963,Myanmar,East Asia & Pacific,6.12,177
1963,Nepal,South Asia,5.96,270
1963,Netherlands,Europe & Central Asia,3.19,17433
1963,Nicaragua,Latin America & Caribbean,7.11,1815
1963,Niger,Sub-Saharan Africa,7.51,709
1963,Nigeria,Sub-Saharan Africa,6.34,1455
1963,Norway,Europe & Central Asia,2.93,25678
1963,Pakistan,South Asia,6.6,341
1963,Panama,Latin America & Caribbean,5.77,2550
1963,Papua New Guinea,East Asia & Pacific,6.28,1255
1963,Paraguay,Latin America & Caribbean,6.45,1459
1963,Peru,Latin America & Caribbean,6.95,3036
1963,Philippines,East Asia & Pacific,6.95,1136
1963,Portugal,Europe & Central Asia,3.12,5265
1963,Puerto Rico,Latin America & Caribbean,4.25,6917
1963,Rwanda,Sub-Saharan Africa,8.2,301
1963,Senegal,Sub-Saharan Africa,7.12,1313
1963,Sierra Leone,Sub-Saharan Africa,6.26,390
1963,Singapore,East Asia & Pacific,5.16,3961
1963,South Africa,Sub-Saharan Africa,5.99,4953
1963,Spain,Europe & Central Asia,2.88,9652
1963,Sri Lanka,South Asia,5.18,595
1963,St. Vincent and the Grenadines,Latin America & Caribbean,6.98,1712
1963,Sudan,Sub-Saharan Africa,6.76,851
1963,Suriname,Latin America & Caribbean,6.5,3510
1963,Sweden,Europe & Central Asia,2.33,20724
1963,Thailand,East Asia & Pacific,6.16,639
1963,The Bahamas,Latin America & Caribbean,4.36,20610
1963,Togo,Sub-Saharan Africa,6.68,421
1963,Trinidad and Tobago,Latin America & Caribbean,4.87,5927
1963,Turkey,Europe & Central Asia,6.17,3440
1963,United Kingdom,Europe & Central Asia,2.88,14592
1963,United States,North America,3.32,18987
1963,Uruguay,Latin America & Caribbean,2.87,5330
1963,Venezuela,Latin America & Caribbean,6.58,12927
1963,Zambia,Sub-Saharan Africa,7.25,1401
1963,Zimbabwe,Sub-Saharan Africa,7.31,1041
1964,Algeria,Middle East & North Africa,7.67,2201
1964,Argentina,Latin America & Caribbean,3.07,5739
1964,Australia,East Asia & Pacific,3.15,21046
1964,Austria,Europe & Central Asia,2.79,15221
1964,Bangladesh,South Asia,6.85,408
1964,Belgium,Europe & Central Asia,2.71,15874
1964,Belize,Latin America & Caribbean,6.42,1161
1964,Benin,Sub-Saharan Africa,6.5,544
1964,Bolivia,Latin America & Caribbean,6.56,1102
1964,Botswana,Sub-Saharan Africa,6.68,453
1964,Brazil,Latin America & Caribbean,5.85,3681
1964,Burkina Faso,Sub-Saharan Africa,6.41,252
1964,Burundi,Sub-Saharan Africa,7.14,206
1964,Cameroon,Sub-Saharan Africa,5.89,982
1964,Canada,North America,3.46,20302
1964,Central African Republic,Sub-Saharan Africa,5.93,573
1964,Chad,Sub-Saharan Africa,6.32,660
1964,Chile,Latin America & Caribbean,4.84,4141
1964,China,East Asia & Pacific,6.35,164
1964,Colombia,Latin America & Caribbean,6.67,2453
1964,Congo,Sub-Saharan Africa,6.05,1462
1964,Costa Rica,Latin America & Caribbean,6.04,3000
1964,C?te d'Ivoire,Sub-Saharan Africa,7.81,1546
1964,Dem. Rep. Congo,Sub-Saharan Africa,6.07,1039
1964,Denmark,Europe & Central Asia,2.6,25265
1964,Dominican Republic,Latin America & Caribbean,7.19,1512
1964,Ecuador,Latin America & Caribbean,6.61,2412
1964,Egypt,Middle East & North Africa,6.62,690
1964,Fiji,East Asia & Pacific,5.68,1854
1964,Finland,Europe & Central Asia,2.59,14305
1964,France,Europe & Central Asia,2.87,15533
1964,Gabon,Sub-Saharan Africa,4.69,5706
1964,Ghana,Sub-Saharan Africa,6.89,1072
1964,Greece,Europe & Central Asia,2.24,8931
1964,Guatemala,Latin America & Caribbean,6.77,1610
1964,Guyana,Latin America & Caribbean,6.05,1574
1964,Haiti,Latin America & Caribbean,6.23,950
1964,Honduras,Latin America & Caribbean,7.44,1153
1964,"Hong Kong SAR, China",East Asia & Pacific,4.67,4392
1964,India,South Asia,5.86,371
1964,Indonesia,East Asia & Pacific,5.62,676
1964,Iran,Middle East & North Africa,6.87,3809
1964,Israel,Middle East & North Africa,3.83,10938
1964,Italy,Europe & Central Asia,2.65,13172
1964,Japan,East Asia & Pacific,2.05,12031
1964,Kenya,Sub-Saharan Africa,8.1,547
1964,Korea,East Asia & Pacific,5.33,1120
1964,Lesotho,Sub-Saharan Africa,5.81,333
1964,Luxembourg,Europe & Central Asia,2.34,30467
1964,Madagascar,Sub-Saharan Africa,7.31,698
1964,Malawi,Sub-Saharan Africa,7.06,242
1964,Malaysia,East Asia & Pacific,6.1,1545
1964,Mauritania,Sub-Saharan Africa,6.8,1025
1964,Mexico,Latin America & Caribbean,6.75,4536
1964,Myanmar,East Asia & Pacific,6.13,163
1964,Nepal,South Asia,5.97,285
1964,Netherlands,Europe & Central Asia,3.17,18625
1964,Nicaragua,Latin America & Caribbean,7.05,1968
1964,Niger,Sub-Saharan Africa,7.52,689
1964,Nigeria,Sub-Saharan Africa,6.34,1495
1964,Norway,Europe & Central Asia,2.98,26762
1964,Pakistan,South Asia,6.6,358
1964,Panama,Latin America & Caribbean,5.71,2585
1964,Papua New Guinea,East Asia & Pacific,6.27,1333
1964,Paraguay,Latin America & Caribbean,6.41,1481
1964,Peru,Latin America & Caribbean,6.92,3143
1964,Philippines,East Asia & Pacific,6.87,1138
1964,Portugal,Europe & Central Asia,3.21,5594
1964,Puerto Rico,Latin America & Caribbean,4.08,7262
1964,Rwanda,Sub-Saharan Africa,8.2,259
1964,Senegal,Sub-Saharan Africa,7.15,1326
1964,Sierra Leone,Sub-Saharan Africa,6.3,410
1964,Singapore,East Asia & Pacific,4.97,3719
1964,South Africa,Sub-Saharan Africa,5.96,5205
1964,Spain,Europe & Central Asia,3.01,10064
1964,Sri Lanka,South Asia,5.07,604
1964,St. Vincent and the Grenadines,Latin America & Caribbean,6.88,1756
1964,Sudan,Sub-Saharan Africa,6.79,818
1964,Suriname,Latin America & Caribbean,6.41,3640
1964,Sweden,Europe & Central Asia,2.47,21973
1964,Thailand,East Asia & Pacific,6.15,662
1964,The Bahamas,Latin America & Caribbean,4.22,21690
1964,Togo,Sub-Saharan Africa,6.73,473
1964,Trinidad and Tobago,Latin America & Caribbean,4.66,6303
1964,Turkey,Europe & Central Asia,6.09,3543
1964,United Kingdom,Europe & Central Asia,2.93,15228
1964,United States,North America,3.19,19811
1964,Uruguay,Latin America & Caribbean,2.86,5398
1964,Venezuela,Latin America & Caribbean,6.5,13841
1964,Zambia,Sub-Saharan Africa,7.27,1524
1964,Zimbabwe,Sub-Saharan Africa,7.35,997
1965,Algeria,Middle East & North Africa,7.68,2276
1965,Argentina,Latin America & Caribbean,3.06,6251
1965,Australia,East Asia & Pacific,2.98,21872
1965,Austria,Europe & Central Asia,2.7,15649
1965,Bangladesh,South Asia,6.88,402
1965,Belgium,Europe & Central Asia,2.61,16291
1965,Belize,Latin America & Caribbean,6.4,1183
1965,Benin,Sub-Saharan Africa,6.54,563
1965,Bolivia,Latin America & Caribbean,6.52,1134
1965,Botswana,Sub-Saharan Africa,6.69,466
1965,Brazil,Latin America & Caribbean,5.73,3687
1965,Burkina Faso,Sub-Saharan Africa,6.45,258
1965,Burundi,Sub-Saharan Africa,7.18,210
1965,Cameroon,Sub-Saharan Africa,5.95,979
1965,Canada,North America,3.12,21261
1965,Central African Republic,Sub-Saharan Africa,5.94,567
1965,Chad,Sub-Saharan Africa,6.34,651
1965,Chile,Latin America & Caribbean,4.75,4090
1965,China,East Asia & Pacific,6.4,187
1965,Colombia,Latin America & Caribbean,6.57,2467
1965,Congo,Sub-Saharan Africa,6.09,1475
1965,Costa Rica,Latin America & Caribbean,5.85,3139
1965,C?te d'Ivoire,Sub-Saharan Africa,7.84,1441
1965,Dem. Rep. Congo,Sub-Saharan Africa,6.09,1022
1965,Denmark,Europe & Central Asia,2.61,26211
1965,Dominican Republic,Latin America & Caribbean,7.05,1282
1965,Ecuador,Latin America & Caribbean,6.56,2420
1965,Egypt,Middle East & North Africa,6.58,705
1965,El Salvador,Latin America & Caribbean,6.55,2370
1965,Fiji,East Asia & Pacific,5.48,1751
1965,Finland,Europe & Central Asia,2.48,15014
1965,France,Europe & Central Asia,2.84,16088
1965,Gabon,Sub-Saharan Africa,4.77,6081
1965,Georgia,Europe & Central Asia,2.88,1780
1965,Ghana,Sub-Saharan Africa,6.92,1058
1965,Greece,Europe & Central Asia,2.25,9725
1965,Guatemala,Latin America & Caribbean,6.74,1633
1965,Guyana,Latin America & Caribbean,5.96,1703
1965,Haiti,Latin America & Caribbean,6.18,951
1965,Honduras,Latin America & Caribbean,7.44,1222
1965,"Hong Kong SAR, China",East Asia & Pacific,4.42,4905
1965,India,South Asia,5.83,354
1965,Indonesia,East Asia & Pacific,5.61,665
1965,Iran,Middle East & North Africa,6.83,4349
1965,Israel,Middle East & North Africa,3.81,11523
1965,Italy,Europe & Central Asia,2.59,13488
1965,Japan,East Asia & Pacific,2.14,12595
1965,Kenya,Sub-Saharan Africa,8.12,540
1965,Korea,East Asia & Pacific,5.13,1170
1965,Lesotho,Sub-Saharan Africa,5.8,334
1965,Luxembourg,Europe & Central Asia,2.42,29901
1965,Madagascar,Sub-Saharan Africa,7.31,677
1965,Malawi,Sub-Saharan Africa,7.1,268
1965,Malaysia,East Asia & Pacific,5.92,1617
1965,Mauritania,Sub-Saharan Africa,6.8,1156
1965,Mexico,Latin America & Caribbean,6.76,4710
1965,Myanmar,East Asia & Pacific,6.14,176
1965,Nepal,South Asia,5.97,277
1965,Netherlands,Europe & Central Asia,3.04,19959
1965,Nicaragua,Latin America & Caribbean,7.01,2093
1965,Niger,Sub-Saharan Africa,7.53,716
1965,Nigeria,Sub-Saharan Africa,6.34,1535
1965,Norway,Europe & Central Asia,2.94,27958
1965,Oman,Middle East & North Africa,7.27,2350
1965,Pakistan,South Asia,6.6,385
1965,Panama,Latin America & Caribbean,5.64,2739
1965,Papua New Guinea,East Asia & Pacific,6.26,1437
1965,Paraguay,Latin America & Caribbean,6.36,1531
1965,Peru,Latin America & Caribbean,6.88,3227
1965,Philippines,East Asia & Pacific,6.78,1161
1965,Portugal,Europe & Central Asia,3.15,6037
1965,Puerto Rico,Latin America & Caribbean,3.89,7808
1965,Rwanda,Sub-Saharan Africa,8.2,271
1965,Senegal,Sub-Saharan Africa,7.19,1306
1965,Sierra Leone,Sub-Saharan Africa,6.34,432
1965,Singapore,East Asia & Pacific,4.66,3905
1965,South Africa,Sub-Saharan Africa,5.92,5377
1965,Spain,Europe & Central Asia,2.94,10578
1965,Sri Lanka,South Asia,4.96,605
1965,St. Vincent and the Grenadines,Latin America & Caribbean,6.76,1753
1965,Sudan,Sub-Saharan Africa,6.81,850
1965,Suriname,Latin America & Caribbean,6.3,3969
1965,Sweden,Europe & Central Asia,2.39,22599
1965,Thailand,East Asia & Pacific,6.13,695
1965,The Bahamas,Latin America & Caribbean,4.06,22864
1965,Togo,Sub-Saharan Africa,6.79,531
1965,Trinidad and Tobago,Latin America & Caribbean,4.43,6284
1965,Tunisia,Middle East & North Africa,7.01,1113
1965,Turkey,Europe & Central Asia,6.01,3557
1965,United Kingdom,Europe & Central Asia,2.86,15552
1965,United States,North America,2.91,20817
